City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,-32.6,89,100,0.33,Ust-Nera,1707254186
1,east london,-33.0153,27.9116,23.96,87,100,6.87,East London,1707254187
2,west island,-12.1568,96.8225,26.99,83,40,3.6,West Island,1707254187
3,zharkent,44.1628,80.0,-7.06,74,64,2.04,Zharkent,1707254188
4,alice springs,-23.7,133.8833,21.23,76,88,6.69,Alice Springs,1707254188
5,adre,13.4667,22.2,19.15,20,27,7.7,Adré,1707254188
6,lihue,21.9789,-159.3672,25.58,71,100,6.69,Lihue,1707254188
7,olonkinbyen,70.9221,-8.7187,-1.65,84,44,9.36,Olonkinbyen,1707254189
8,blackmans bay,-43.0167,147.3167,14.07,78,97,2.61,Blackmans Bay,1707254189
9,santa cruz,-17.8,-63.1667,33.03,52,40,6.69,Santa Cruz de la Sierra,1707254189
10,port mathurin,-19.6833,63.4167,27.01,70,67,8.16,Port Mathurin,1707254189
11,edinburgh of the seven seas,-37.0676,-12.3116,17.1,68,39,3.7,Edinburgh of the Seven Seas,1707254189
12,puerto ayora,-0.7393,-90.3518,28.98,77,68,4.9,Puerto Ayora,1707254189
13,kailua-kona,19.6406,-155.9956,26.95,68,20,4.63,Kailua-Kona,1707254129
14,bilibino,68.0546,166.4372,-35.6,100,100,0.68,Bilibino,1707254190
15,yashkul',46.1711,45.3435,0.76,75,81,7.25,Yashkul',1707254190
16,oswego,43.4501,-76.1497,5.29,64,11,0.45,Oswego,1707254190
17,huntsville,34.7304,-86.5861,18.89,36,0,6.17,Huntsville,1707254017
18,luza,60.6308,47.2512,-27.09,100,86,1.92,Luza,1707254190
19,port-aux-francais,-49.35,70.2167,6.05,90,100,11.14,Port-aux-Français,1707254191
20,kibre mengist,5.8833,38.9833,15.25,47,5,0.99,Kibre Mengist,1707254191
21,zyryanovsk,49.7386,84.2719,-20.54,98,61,0.87,Zyryanovsk,1707254191
22,tazovsky,67.4667,78.7,-14.85,97,98,3.82,Tazovsky,1707254191
23,hamilton,39.1834,-84.5333,10.6,54,0,2.57,Hamilton,1707253433
24,xining,36.6167,101.7667,-8.96,95,100,0.38,Xining,1707254191
25,santo rosario,15.6447,120.8612,19.83,86,2,1.0,Santo Rosario,1707254192
26,san patricio,28.017,-97.5169,21.97,42,0,1.96,San Patricio,1707254192
27,bethel,41.3712,-73.414,5.2,52,17,1.79,Bethel,1707254192
28,shaowu,27.3409,117.4831,5.04,97,100,1.49,Shaowu,1707254192
29,waitangi,-43.9535,-176.5597,19.34,90,97,2.24,Waitangi,1707254193
30,ebon,4.582,168.6964,27.72,79,95,5.83,Ebon,1707254193
31,port lincoln,-34.7333,135.8667,16.08,78,5,3.38,Port Lincoln,1707254193
32,ancud,-41.8697,-73.8203,16.63,94,100,8.47,Ancud,1707254194
33,grytviken,-54.2811,-36.5092,9.82,57,2,1.92,Grytviken,1707254194
34,tiksi,71.6872,128.8694,-24.49,99,98,2.69,Tiksi,1707254194
35,iskateley,67.6803,53.1512,-27.77,99,97,1.34,Iskateley,1707254194
36,yellowknife,62.456,-114.3525,-17.47,83,100,5.66,Yellowknife,1707254194
37,nar'yan-mar,67.6713,53.087,-27.72,99,97,1.34,Naryan-Mar,1707254195
38,shush,32.1942,48.2436,13.06,57,13,2.4,Susa,1707254195
39,ilulissat,69.2167,-51.1,-10.99,44,75,9.77,Ilulissat,1707254195
40,avarua,-21.2078,-159.775,30.03,74,75,6.17,Avarua,1707254195
41,moyynkum,44.2914,72.9469,1.47,67,100,4.18,Moyynkum,1707254196
42,magadan,59.5667,150.8,-22.25,80,99,3.41,Magadan,1707254196
43,albany,42.6001,-73.9662,3.65,56,6,2.18,Albany,1707254061
44,adamstown,-25.066,-130.1015,24.98,80,31,1.7,Adamstown,1707254196
45,margaret river,-33.95,115.0667,16.5,65,0,5.29,Margaret River,1707254196
46,ayr,55.4627,-4.6339,2.5,80,20,0.51,Ayr,1707254197
47,anadyr,64.75,177.4833,-23.72,76,20,2.0,Anadyr,1707254197
48,pisco,-13.7,-76.2167,29.03,61,0,10.29,Pisco,1707254197
49,badger,64.8,-147.5333,-12.88,81,40,2.57,Badger,1707254137
50,kampene,-3.6,26.6667,20.33,99,99,0.65,Kampene,1707254198
51,forster,-32.1667,152.5167,19.6,100,100,4.83,Forster,1707254198
52,glazov,58.1394,52.6584,-5.9,95,100,3.77,Glazov,1707254198
53,isla mujeres,21.2311,-86.731,21.03,69,35,8.97,Isla Mujeres,1707254199
54,papatowai,-46.5619,169.4708,12.8,85,78,4.46,Papatowai,1707254199
55,kavaratti,10.5669,72.642,27.8,75,4,3.24,Kavaratti,1707254199
56,puerto natales,-51.7236,-72.4875,17.25,45,100,5.14,Puerto Natales,1707254199
57,whitehorse,60.7161,-135.0538,-16.1,85,100,2.06,Whitehorse,1707254200
58,tafresh,34.692,50.013,-0.76,77,8,5.31,Tafresh,1707254200
59,bredasdorp,-34.5322,20.0403,21.6,64,10,6.21,Bredasdorp,1707254200
60,san sebastian de la gomera,28.0916,-17.1133,21.2,40,0,0.0,San Sebastián de La Gomera,1707254200
61,wailua homesteads,22.0669,-159.378,25.24,71,100,6.69,Wailua Homesteads,1707254201
62,ocean shores,46.9737,-124.1563,10.53,80,20,2.06,Ocean Shores,1707254201
63,korla,41.7597,86.1469,-5.7,77,27,1.19,Korla,1707254201
64,brookings,44.3114,-96.7984,9.14,81,0,4.12,Brookings,1707254131
65,kodiak,57.79,-152.4072,-2.27,86,0,1.54,Saint Paul Harbor,1707254201
66,umuarama,-23.7664,-53.325,31.12,48,100,2.67,Umuarama,1707254202
67,crane,31.3974,-102.3501,17.56,34,100,9.1,Crane,1707254202
68,invercargill,-46.4,168.35,15.57,80,64,4.92,Invercargill,1707254202
69,hegang,47.4,130.3667,-22.97,97,6,1.75,Hegang,1707254202
70,sao tome,0.3365,6.7273,27.65,79,99,0.27,São Tomé,1707254202
71,dauphin,51.1494,-100.0502,1.08,86,100,1.54,Dauphin,1707254202
72,enewetak,11.3474,162.3373,26.51,81,59,7.5,Enewetak,1707254203
73,susuman,62.7833,148.1667,-33.34,99,99,1.34,Susuman,1707254203
74,hagere selam,6.4833,38.5167,12.0,50,81,2.42,Hāgere Selam,1707254176
75,sitka,57.0531,-135.33,2.94,87,75,2.57,Sitka,1707254203
76,dudinka,69.4058,86.1778,-19.62,87,100,3.58,Dudinka,1707254203
77,college,64.8569,-147.8028,-12.83,80,40,2.57,College,1707254203
78,nova sintra,14.8667,-24.7167,21.2,72,0,3.39,Nova Sintra,1707254204
79,hawaiian paradise park,19.5933,-154.9731,23.21,78,100,2.06,Hawaiian Paradise Park,1707254204
80,muriti,-1.9833,32.9167,23.69,68,5,1.58,Muriti,1707254204
81,georgetown,5.4112,100.3354,27.75,89,20,3.09,George Town,1707254204
82,port elizabeth,-33.918,25.5701,23.39,89,75,8.75,Port Elizabeth,1707254204
83,inarajan village,13.2736,144.7484,26.08,90,100,6.76,Inarajan Village,1707254205
84,yeed,4.55,43.0333,28.48,42,61,4.48,Yeed,1707254205
85,yuzhno-kurilsk,44.0306,145.8556,-8.68,81,79,2.36,Yuzhno-Kurilsk,1707254205
86,cerro azul,21.2,-97.7333,22.29,48,0,3.23,Cerro Azul,1707254205
87,albertina,-22.2008,-46.6158,24.26,65,100,1.8,Albertina,1707254205
88,aykhal,66.0,111.5,-28.98,100,100,2.52,Aykhal,1707254205
89,gobabis,-22.45,18.9667,23.68,56,46,5.48,Gobabis,1707254206
90,stanley,54.868,-1.6985,3.73,74,20,2.06,Stanley,1707254206
91,metlili chaamba,32.2667,3.6333,12.52,38,0,1.03,Metlili Chaamba,1707254206
92,bull savanna,17.8868,-77.5902,23.92,64,29,8.37,Bull Savanna,1707254206
93,tsengel,49.4783,100.8894,-21.67,92,98,1.95,Tsengel,1707254206
94,ushuaia,-54.8,-68.3,17.81,42,0,2.57,Ushuaia,1707254047
95,sungailiat,-1.85,106.1333,25.95,87,100,2.29,Sungailiat,1707253993
96,vorgashor,67.5833,63.95,-24.91,98,97,1.7,Vorgashor,1707254207
97,bobrov,51.0961,40.0333,-6.74,93,67,3.82,Bobrov,1707254207
98,iqaluit,63.7506,-68.5145,-15.15,66,75,7.72,Iqaluit,1707254207
99,sangmelima,2.9333,11.9833,22.46,32,58,0.8,Sangmélima,1707254208
100,bathsheba,13.2167,-59.5167,28.34,83,40,8.75,Bathsheba,1707254208
101,isangel,-19.55,169.2667,28.06,94,75,1.03,Isangel,1707254208
102,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,84,75,3.0,Petropavlovsk-Kamchatskiy,1707254208
103,valparaiso,-33.0393,-71.6273,25.13,60,0,4.63,Valparaíso,1707254209
104,thompson,55.7435,-97.8558,-17.91,71,75,4.63,Thompson,1707254209
105,roma,43.2128,-75.4557,5.28,46,0,4.12,Rome,1707254189
106,ola,59.5833,151.2833,-23.11,85,98,4.09,Ola,1707254209
107,baidoa,3.1138,43.6498,25.46,67,62,6.43,Baidoa,1707254210
108,taoudenni,22.6783,-3.9836,20.49,12,1,5.33,Taoudenni,1707254210
109,chonchi,-42.6128,-73.8092,18.95,86,100,4.73,Chonchi,1707254210
110,mazatlan,23.2167,-106.4167,27.17,61,20,2.06,Mazatlán,1707254210
111,san jose del guaviare,2.5729,-72.6459,29.07,70,87,1.96,San José del Guaviare,1707254131
112,hoemul-li,41.4339,129.67,-5.65,69,9,1.87,Hoemul-li,1707254211
